Name,City,Country,FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Color
Bermuda Dunes Airport,Palm Springs,United States,UDD,KUDD,33.7484375,-116.2748133,73,-8,A,216
Scottsdale Airport,Scottsdale,United States,ZSY,KSDL,33.6228889,-111.9105278,1519,-7,A,216
Olympia Regional Airpor,Olympia,United States,OLM,KOLM,46.9694044,-122.9025447,209,-8,A,216
Yolo County Airport,Davis-Woodland-Winters,United States,DWA,KDWA,38.5793889,-121.8569444,100,-8,A,216
Garfield County Regional Airport,Rifle,United States,RIL,KRIL,39.5263056,-107.7269444,5548,-7,A,216
Shively Field Airport,SARATOGA,United States,SAA,KSAA,41.4448594,-106.8235264,7012,-7,A,216
Dekalb-Peachtree Airport,Atlanta,United States,PDK,KPDK,33.8756111,-84.3019722,1003,-5,A,216
Monroe County Airport,Bloomington,United States,BMG,KBMG,39.1460208,-86.6166805,846,-5,A,216
Witham Field Airport,Stuart,United States,SUA,KSUA,27.1816996,-80.221294,16,-5,A,216
Morristown Municipal Airport,Morristown,United States,MMU,KMMU,40.79935,-74.4148747,187,-5,A,216
Napa County Airport,Napa,United States,APC,KAPC,38.2131944,-122.2806944,35,-8,A,216
Brown Field Municipal Airport,San Diego,United States,SDM,KSDM,32.5722722,-116.9801611,526,-8,A,216
Pahokee Airport,Pahokee,United States,PHK,\N,26.789,-80.692,18,-5,A,216
Panama City-NW Florida Bea.,Panama City,United States,ECP,KECP,30.3417,-85.7973,69,-6,A,216
San Bernardino International Airport,San Bernardino,United States,SBD,KSBD,34.0953521,-117.2348722,1159,-8,A,216
San Carlos Airport,San Carlos,United States,SQL,KSQL,37.511944,-122.249444,5,-8,A,216
Rocky Mount Wilson Regional Airport,Rocky Mount,United States,RWI,KRWI,35.8563,-77.8919,159,-5,A,216
Soldotna Airport,Soldotna,United States,SXQ,\N,60.4749583,-151.0382389,113,-9,U,216
Gillespie,El Cajon,United States,SEE,KSEE,32.8262222,-116.9724444,388,-8,A,216
Truckee-Tahoe Airport,Truckee,United States,TKF,KTRK,39.3200422,-120.1395628,5900,-8,A,216
Moultrie Municipal Airport,Moultrie,United States,MGR,\N,31.0849167,-83.80325,294,-5,A,216
Cobb County Airport-Mc Collum Field,Atlanta,United States,RYY,KRYY,34.0131569,-84.5970556,1041,-5,A,216
Oneonta Municipal Airport,Oneonta,United States,ONH,\N,42.524722,-75.064444,1763,-5,A,216
Dell Flight Strip,Dell,United States,4U9,K4U9,44.7357483,-112.7200133,6007,-7,A,216
Mission Field Airport,Livingston-Montana,United States,LVM,KLVM,45.6993889,-110.4483056,4660,-7,A,216
Big Timber Airport,Big Timber,United States,6S0,K6S0,45.8063889,-109.9811111,4492,-7,A,216
Tulip City Airport,Holland,United States,BIV,KBIV,42.7427778,-86.1078333,698,-5,A,216
West 30th St. Heliport,New York,United States,JRA,KJRA,40.7545,-74.0071,7,-5,A,216
Lakeland Linder Regional Airport,Lakeland,United States,LAL,KLAL,27.9889167,-82.0185556,142,-5,A,216
Idlewild Intl,New York,United States,IDL,KIDL,40.639751,-73.778924,13,-5,A,216
French Valley Airport,Murrieta-Temecula,United States,RBK,KF70,33.5741791,-117.1284732,1350,-8,A,216
Erie-Ottawa Regional Airport,Port Clinton,United States,PCW,KPCW,41.5162703,-82.8694868,590,-5,U,216
